Subject;Condition;Gender;Age;PositivExperience;Engagement;Education;Fascination;Autenticity;Distracting;Irritating;Clearly;Annoying;Understandable;Disturbing;Realistic;Pleasant;Satisfaction
B1;Baseline;Female;25;4;4;3;4;4;-4;-3;4;-4;5;-4;4;4;5
B2;Baseline;Male;24;5;4;4;5;5;-3;-4;3;-3;4;-4;5;3;4
B3;Baseline;Male;24;4;5;4;5;5;-3;-2;3;-2;4;-2;5;4;4
B4;Baseline;Male;24;4;5;5;5;5;-3;-3;4;-3;4;-2;5;4;5
B5;Baseline;Female;22;4;3;4;4;3;-5;-5;4;-4;5;-3;4;3;4
B6;Baseline;Male;22;4;3;3;4;4;-3;-5;5;-4;4;-4;4;4;4
B7;Baseline;Female;22;4;4;3;3;5;-2;-4;5;-4;5;-4;5;3;4
B8;Baseline;Male;23;4;4;3;5;5;-2;-5;5;-5;5;-5;5;3;4
M1;Muted;Female;22;4;4;3;5;3;-3;-2;4;-2;5;-1;4;4;4
M2;Muted;Male;22;4;2;2;4;4;-2;-1;3;-1;3;-1;5;4;3
M3;Muted;Male;21;4;4;3;4;4;-5;-4;4;-3;3;-3;4;4;4
M4;Muted;Male;24;4;5;3;4;3;-3;-1;5;-1;4;-1;3;3;4
M5;Muted;Female;24;2;1;2;3;4;-4;-3;3;-3;4;-3;4;2;2
M6;Muted;Male;25;3;3;2;4;1;-1;-2;3;-3;3;-1;2;3;3
M7;Muted;Male;22;2;4;3;2;2;-4;-2;3;-2;4;-2;3;3;3
M8;Muted;Male;21;4;3;4;4;5;-4;-1;3;-1;2;-2;4;4;4
M9;Muted;Femele;22;4;3;4;5;4;-2;-1;4;-1;3;-2;3;4;4
M10;Muted;Male;24;3;3;2;4;4;-1;-1;3;-2;4;-1;4;3;3
L1;Lowered;Male;23;4;1;3;3;4;-4;-2;3;-2;2;-2;3;3;4
L2;Lowered;Male;23;5;2;5;3;4;-2;-3;5;-3;5;-3;4;4;4
L3;Lowered;Male;23;4;1;3;4;4;-3;-2;2;-2;2;-2;3;3;3
L4;Lowered;Male;25;3;2;4;3;4;-2;-2;4;-2;5;-2;5;3;3
L5;Lowered;Male;20;4;3;2;4;3;-1;-3;2;-2;2;-1;2;4;4
L6;Lowered;Female;21;4;3;3;5;4;-1;-2;4;-1;4;-2;4;3;4
L7;Lowered;Male;22;3;2;2;4;3;-1;-1;4;-1;5;-1;3;4;4
L8;Lowered;Male;23;4;4;2;3;4;-1;-2;3;-2;4;-3;4;4;3
L9;Lowered;Female;22;5;3;3;4;5;-2;-1;4;-1;5;-1;4;5;5
S1;Selective;Male;23;4;2;3;4;5;-2;-2;4;-2;5;-2;5;4;4
S2;Selective;Male;23;4;3;4;5;4;-3;-2;4;-2;5;-2;4;3;4
S3;Selective;Male;24;4;4;5;5;2;-2;-1;4;-1;5;-1;2;4;4
S4;Selective;Male;25;3;2;4;4;5;-1;-2;4;-1;4;-1;4;2;3
S5;Selective;Male;24;4;2;4;5;5;-1;-1;4;-2;4;-2;5;4;4
S6;Selective;Male;24;4;3;3;4;4;-3;-3;5;-2;4;-3;4;4;4
S7;Selective;Female;24;4;4;3;3;5;-2;-2;5;-3;5;-3;5;3;4
S8;Selective;Male;22;4;4;3;5;5;-3;-1;4;-2;5;-1;5;3;4
S9;Selective;female;22;4;4;5;5;4;-2;-2;4;-2;4;-2;4;3;4
